anngar[N][Rel][3SgPoss][SgPosd]	anngaan
anngar[N][Rel][3SgPoss][PlPosd]	anngain
anngar[N][Rel][3SgPoss][DuPosd]	anngagken
anngar[N][Rel][3PlPoss][SgPosd]	anngaata
anngar[N][Rel][3PlPoss][PlPosd]	anngaita
anngar[N][Rel][3DuPoss][SgPosd]	anngaagnek
qimugte[N][Rel][3SgPoss][SgPosd]	qimugtiin
anngar[N][Rel][1SgPoss][SgPosd]	anngama
qetunrar*[N][Rel][3SgPoss][PlPosd]	qetunrain
qimugte[N][Rel][3PlPoss][PlPosd]	qimugtaita
qantar[N][Rel][3PlPoss][SgPosd]	qantaat
elitnauriste[N][Rel][1PlPoss][PlPosd]	elitnauristemta
irniar[N][Rel][3PlPoss][PlPosd]	irniarita
ila[N][Rel][3PlPoss][SgPosd]	iliita
allaner[N][Rel][2SgPoss][PlPosd]	allanerpet
uita-@~+vig[V→N][N][Rel][3PlPoss][SgPosd]	uitaviata
egaler[N][Abs][3SgPoss][PlPosd]	egalri
alqar[N][Rel][2SgPoss][SgPosd]	alqavet
ui[N][Rel][3SgPoss][SgPosd]	uingan
anngar[N][Rel][3SgPoss][PlPosd]	anngain
nasaurlur*[N][Rel][Unpd][Sg]	nasaurluum
angayuqar*[N][Rel][3SgPoss][DuPosd]	angayuqaagken
[e]ne[N][Rel][3DuPoss][SgPosd]	eniignek
amiig[N][Abs][3SgPoss][SgPosd]	amiiga
tangerr[V][Trns][Ind][A_1Sg][P_2Sg]	tangrramken
tangerr[V][Trns][Ind][A_1Sg][P_2Pl]	tangrramci
tangerr[V][Trns][Ind][A_1Pl][P_2Sg]	tangrramteggen
tangerr[V][Trns][Ind][A_1Pl][P_2Pl]	tangrramceci
tangerr[V][Trns][Ind][A_2Sg][P_1Sg]	tangrrarpenga
tangerr[V][Trns][Ind][A_2Sg][P_1Sg]	tangrravnga
tangerr[V][Trns][Ind][A_2Sg][P_1Pl]	tangrrarpekut
tangerr[V][Trns][Ind][A_2Pl][P_1Sg]	tangrrarpecia
tangerr[V][Trns][Ind][A_2Pl][P_1Pl]	tangrrarpecikut
