kiag[N][Abs][Unpd][Sg]	kaik
uksuar[N][Abs][Unpd][Sg]	uksuaq
uksur[N][Abs][Unpd][Sg]	uksuq
upʼnerkar[N][Abs][Unpd][Sg]	upʼnerkaq
kiag[N][Loc][Unpd][Sg]	kiagmi
unug[N][Loc][Unpd][Sg]	unugmi
uksur[N][Loc][Unpd][Sg]	uksumi
uksur-–rpag[N→N][N][Abs][Unpd][Sg]	uksurpak
unug-–rpag[N→N][N][Abs][Unpd][Sg]	unugpak
erner-–rpag[N→N][N][Abs][Unpd][Sg]	ernerpak
kiaku[N][Abs][Unpd][Sg]	kiaku
uksuqu[N][Abs][Unpd][Sg]	uksuqu
unuku[N][Abs][Unpd][Sg]	unuku
uksur[V][Intr][Ind][S_3Sg]	uksurtuq
unug[V][Trns][Ind][A_3Sg][P_1Pl]	unugaakut
erte[V][Intr][Ind][S_3Sg]	ertuq
erte-@%:(u)te[V→V][V][Trns][Ind][A_3Sg][P_1Pl]	erutaakut
piyua[V][Intr][Sbrd][S_3Sg]	piyualuni
cave[V][Intr][Sbrd][S_3Sg]	cavluni
tangerr-@~+yug[V→V][V][Trns][Sbrd][P_3Sg]	tangerrsugluku
qitevte-@%:(u)te[V→V][V][Trns][Sbrd][P_1Pl]	qitʼvulluta
assir[V][Intr][Sbrd][S_2Sg]	assirluten
cuka[V][Intr][Sbrd][S_3Pl]	cukaluteng
qenerte[V][Intr][Sbrd][S_3Sg]	qenerrluni
cuka[V][Intr][Sbrd][S_3Sg]	cukaluni
assir[V][Intr][Sbrd][S_3Sg]	assirluni
taringe[V][Intr][Sbrd][S_3Sg]	taringluni
taqe[V][Intr][Sbrd][S_3Sg]	taqluni
mingqe[V][Intr][Sbrd][S_3Sg]	mingqelluni
mingqe[V][Intr][Sbrd][S_3Sg]	mingeqluni
alingnarqe[V][Intr][Sbrd][S_3Sg]	alingnaqluni
tegute[V][Intr][Sbrd][S_3Sg]	tegulluni
qenerte[V][Intr][Sbrd][S_3Sg]	qenerrluni
utaqa[V][Intr][Sbrd][S_3Sg]	utaqaluni
utaqa[V][Intr][Sbrd][S_3Pl]	utaqaluteng
utaqa[V][Intr][Sbrd][S_3Du]	utaqalutek
utaqa[V][Intr][Sbrd][S_1Sg]	utaqalua
utaqa[V][Intr][Sbrd][S_1Pl]	utaqaluta
utaqa[V][Intr][Sbrd][S_1Du]	utaqalunuk
utaqa[V][Intr][Sbrd][S_2Sg]	utaqaluten
utaqa[V][Intr][Sbrd][S_2Pl]	utaqaluci
utaqa[V][Intr][Sbrd][S_2Du]	utaqalutek
utaqa[V][Trns][Sbrd][P_3Sg]	utaqaluku
utaqa[V][Trns][Sbrd][P_1Sg]	utaqalua
utaqa[V][Trns][Sbrd][P_2Sg]	utaqaluten
nere[V][Intr][Sbrd][S_1Sg]	nerlua
meqsug[V][Intr][Sbrd][S_3Sg]	meqsugluni
iqtu[V][Intr][Sbrd][S_3Sg]	iqtuluni
tai[V][Intr][Sbrd][S_2Sg]	tailuten
ikayur[V][Trns][Sbrd][P_1Sg]	ikayurlua
kumlate[V][Intr][Sbrd][S_3Sg]	kumlanani
nere-+(s)ciigate[V→V][V][Intr][Sbrd][S_3Sg]	neresciiganani
ui-%:(ng)ite[N→V][V][Intr][Sbrd][S_3Sg]	uinginani
ui-%:(ng)ite[N→V][V][Intr][Sbrd][S_3Sg]	uingunani
nere-–ksaite[V→V][V][Intr][Sbrd][S_3Sg]	nereksainani
nere-–ksaite[V→V][V][Intr][Sbrd][S_3Sg]	nereksaunani
nere-@~–yuite[V→V][V][Intr][Sbrd][S_3Sg]	neryuinani
nere-@~–yuite[V→V][V][Intr][Sbrd][S_3Sg]	neryuunani
nere-@~+yuumiite[V→V][V][Intr][Sbrd][S_3Sg]	neryuumiinani
nere-+peke/.vke[V→V][V][Trns][Sbrd][P_3Pl]	nerevkenaki
qavar-+peke/.vke[V→V][V][Intr][Sbrd][S_3Sg]	qavarpekʼnani
neplir[V][Intr][Sbrd][S_1Sg]	neplirlua
nepaite[V][Intr][Sbrd][S_1Sg]	nepainii
nepaite[V][Intr][Sbrd][S_1Sg]	nepaunii
neplir[V][Intr][Sbrd][S_2Sg]	neplirluten
nepaite[V][Intr][Sbrd][S_2Sg]	nepainak
nepaite[V][Intr][Sbrd][S_2Sg]	nepaunak
quuyurni-@%:(u)te[V→V]-+peke/.vke[V→V][V][Trns][Sbrd][P_1Sg]	quuyurnitevkenii
aklur-%:(ng)ir[N→V]-+peke/.vke[V→V][V][Intr][Sbrd][S_2Sg]	akluirpekʼnak
ini-+peke/.vke[V→V][V][Trns][Sbrd][P_3Pl]	inivkenaki
qavar-+(s)ciigate[V→V][V][Intr][Sbrd][S_1Pl]	qavarciiganata
taqe-+peke/.vke[V→V][V][Intr][Sbrd][S_3Sg]	taqevkenani
qavar-–ksaite[V→V][V][Intr][Sbrd][S_3Sg]	qavaqsaunani
qavar-+pege/.vke[V→V][V][Intr][Sbrd][S_3Sg]	qavarpegnani
pitsaqe-–nrite[V→V][V][Trns][Ind][A_1Sg][P_2Sg]	pitsaqenritamken
pitsaqe[V][Intr][Sbrd][S_3Sg]	pitsaqluni
pitsaqe[V][Trns][Sbrd][P_3Sg]	pitsaqluku
pitsaqe-+peke/.vke[V→V][V][Intr][Sbrd][S_3Sg]	pitsaqevkenani
pitsaqe-+peke/.vke[V→V][V][Trns][Sbrd][P_3Sg]	pitsaqevkenaku
muir[V][Trns][Sbrd][P_3Sg]	muirluku
muir[V][Trns][Ind][A_3Sg][P_3Sg]	muiraa
ca-–qar[V→V][V][Intr][Sbrd][S_3Sg]	caqerluni
maqi-@~+na[V→V][V][Intr][Sbrd][S_3Sg]	maqinaluni
aqume-@~+na[V→V][V][Intr][Sbrd][S_3Sg]	aqumnaluni
qavar-@~+na[V→V][V][Intr][Sbrd][S_3Pl]	qavarnaluteng
ca-@~+na[V→V][V][Intr][Sbrd][S_3Pl]	canaluteng
kipute-@~+na[V→V][V][Intr][Sbrd][S_3Sg]	kiputnaluni
ceńirte-@~+na[V→V][V][Trns][Sbrd][P_1Pl]	ceńirrnaluta
kagi-–rraar[V→V][V][Trns][Sbrd][P_3Sg]	kagirraarluku
kumar-–rraar[V→V][V][Intr][Sbrd][S_1Pl]	kuimarraarluta
ermig-–rraar[V→V][V][Intr][Sbrd][S_3Sg]	ermiggaarluni
inarte-–rraar[V→V][V][Intr][Sbrd][S_3Sg]	inarterraarluni
inarte-–rraar[V→V][V][Intr][Sbrd][S_3Sg]	inarqaarluni
qulite-–rraar[V→V][V][Intr][Sbrd][S_1Sg]	quliterraarlua
qulite-–rraar[V→V][V][Intr][Sbrd][S_1Sg]	quliqaarlua
nere-–rraar[V→V][V][Intr][Sbrd][S_3Sg]	nererraarluni
nere-+'(g)aqe[V→V][V][Intr][Sbrd][S_3Sg]	nerʼaqluni
pissur-+'(g)aqe[V→V][V][Intr][Sbrd][S_3Sg]	pissuraqluni
maqi-+'(g)aqe[V→V][V][Intr][Sbrd][S_3Sg]	maqiaqluni
qayar-–piar[N→N]-–ngqerr[N→V][V][Intr][Sbrd][S_3Sg]	qayapiarluni
panig-–ngqerr[N→V][V][Intr][Sbrd][S_1Sg]	paniglua
ayag-–qaqe[V→V][V][Intr][Sbrd][S_3Sg]	ayakaraqluni
nere-–qaqe[V→V][V][Intr][Sbrd][S_3Sg]	nerqeraqluni
ayag-–qaqe[V→V][V][Intr][Sbrd][S_3Sg]	ayakaqluni
nere-–qaqe[V→V][V][Intr][Sbrd][S_3Sg]	nerqaqluni
quuyurni-–qaqe[V→V][V][Intr][Sbrd][S_3Sg]	quuyurniqeraqluni
quuyurni-–qaqe[V→V][V][Intr][Sbrd][S_3Sg]	quuyurniqaʼaqluni
aqume[V][Intr][Sbrd][S_2Sg]	aqumluten
aqume-–qar[V→V][V][Intr][Sbrd][S_2Sg]	aqumqerluten
nere[V][Trns][Sbrd][P_3Sg]	nerluku
ane-–ksaite[V→V][V][Intr][Sbrd][S_2Sg]	aneksaunak
ane-+peke/.vke[V→V][V][Intr][Sbrd][S_2Sg]	anevkenak
nuteg-%:(ng)ite[N→V][V][Intr][Sbrd][S_3Pl]	nutgunateng
pi-+'(g)aqe[V→V][V][Intr][Sbrd][S_3Pl]	piaqluteng
atur-+'(g)aqe[V→V][V][Intr][Sbrd][S_3Pl]	aturaqluteng
petug[V][Trns][Sbrd][P_3Pl]	petugluki
ayag-+'(g)aqe[V→V][V][Intr][Sbrd][S_3Pl]	ayagaqluteng
pi-+peke/.vke[V→V][V][Trns][Sbrd][P_3Pl]	pivkenaki
maryarte-+(s)te[V→N]-–ngqerr[N→V][V][Intr][Sbrd][S_3Pl]	maryartesterluteng
ciuliste-%:(ng)ite[N→V][V][Intr][Sbrd][S_3Pl]	ciulistaunateng
elitnaur-%:(u/i)ma[V→V]-+peke/.vke[V→V][V][Intr][Sbrd][S_3Pl]	elitnaurumavkenateng
elitnaur-+'(g)i[V→V][V][Intr][Sbrd][S_3Pl]	elitnauriluteng
ciuliste-%:~(ng)u[N→V][V][Intr][Sbrd][S_1Pl]	ciulistenguluta
tanʼgerlir-+tangqerr[N→V][V][Intr][Ind][S_3Sg]	tanʼgerlirtangqertuq
tanʼgerlir-+taite[N→V][V][Intr][Ind][S_3Sg]	tanʼgerlirtaituq
tanʼgerlir-+tange[N→V][V][Intr][Ind][S_3Sg]	tanʼgerlirtanguq
yug-+taite[N→V][V][Intr][Ind][S_3Sg]	yugtaituq
nanvar-+tar[N→V][V][Intr][Sbrd][S_3Sg]=llu[Encl]	nanvartarluni-llu
nurnar-+'(g)aqe[V→V][V][Intr][Sbrd][S_3Pl]	nurnaqluteng
tekite-+'(g)aqe[V→V][V][Intr][Sbrd][S_3Pl]	tekitaqluteng
kassʼar-+taite[N→V][V][Intr][Sbrd][S_3Sg]	kassʼartaunani
tengssuute-+taite[N→V][V][Intr][Sbrd][S_3Sg]=llu[Encl]	tengssuutetaunani-llu
nurnar-+'(g)aqe[V→V][V][Intr][Sbrd][S_3Sg]	nurnaqluni
[e]ne-–ngqerr[N→V]-–tu[V→V]-–llru[V→V][V][Intr][Sbrd][S_1Pl]	nengqetullruluta
nuna-+tangqerr[N→V][V][Intr][Sbrd][S_3Pl]	nunatangqerrluteng
nengllir-+'(g)aqe[V→V][V][Intr][Sbrd][S_3Pl]	nenglliraqluteng
kumarte-+'(g)aqe[V→V][V][Intr][Sbrd][S_3Pl]	kumartaqluteng
kiircete-–rrlainar[V→V]-@~–yuite[V→V][V][Intr][Sbrd][S_3Pl]	kiirceterrlainayuunateng
murag-%:(ng)i%:rute[N→V]-+'(g)aqe[V→V][V][Intr][Sbrd][S_3Pl]	murairutaqluteng
kiu-+(s)ciigate[V→V][V][Intr][Sbrd][S_1Pl]	kiusciiganata
qenerte[V][Intr][Sbrd][S_1Pl]	qenerrluta
pi-+(s)ciigate[V→V][V][Intr][Sbrd][S_1Pl]	pisciiganata
nuqlite-+peke/.vke[V→V][V][Intr][Sbrd][S_3Pl]	nuqlitevkenateng
ayaga-–tu[V→V]-–llru[V→V][V][Intr][Sbrd][S_3Pl]	ayagatullruluteng
cave-@+'(g/t)ur(ar)[V→V][V][Intr][Sbrd][S_1Pl]	cavʼurluta
ayag-+'(g)aqe[V→V][V][Intr][Sbrd][S_1Pl]	ayagaqluta
upag-+'(g)aqe[V→V][V][Intr][Sbrd][S_1Pl]	upagaqluta
cuka-@~+ngate[V→V]-+'(g)aqe[V→V][V][Intr][Sbrd][S_1Pl]	cukangataqluta
tengalrar-–ngqerr[N→V][V][Intr][Sbrd][S_3Pl]	tengalrarluteng
cuka-+'(g)aqe[V→V][V][Intr][Sbrd][S_3Pl]	cukaaqluteng
