cali[V][Intr][Ind][S_3Sg]	caliuq
tuqu[V][Intr][Ind][S_3Sg]	tuquuq
kaig[V][Intr][Ind][S_3Sg]	kaigtuq
qavar[V][Intr][Ind][S_3Sg]	qavartuq
aqui[V][Intr][Ind][S_3Sg]	aquiguq
elite[V][Intr][Ind][S_3Sg]	elituq
qalarte[V][Intr][Ind][S_3Sg]	qalartuq
alinge[V][Intr][Ind][S_3Sg]	alinguq
nere[V][Intr][Ind][S_3Sg]	nerʼuq
cali[V][Intr][Ind][S_3Pl]	caliut
cali[V][Intr][Ind][S_3Du]	caliuk
cali[V][Intr][Ind][S_1Sg]	caliunga
aqui[V][Intr][Ind][S_1Sg]	aquigua
nere[V][Intr][Ind][S_1Sg]	nerua
inarte[V][Intr][Ind][S_1Sg]	inartua
kaig[V][Intr][Ind][S_1Sg]	kaigtua
cali[V][Intr][Ind][S_1Pl]	caliukut
kaig[V][Intr][Ind][S_1Pl]	kaigtukut
cali[V][Intr][Ind][S_1Du]	caliukuk
cali[V][Intr][Ind][S_2Sg]	caliuten
kaig[V][Intr][Ind][S_2Sg]	kaigtuten
cali[V][Intr][Ind][S_2Pl]	caliuci
kaig[V][Intr][Ind][S_2Pl]	kaigtuci
cali[V][Intr][Ind][S_2Du]	caliutek
kaig[V][Intr][Ind][S_2Sg]=qaa[Encl]	kaigtuten-qaa
ataam[Particle]=qaa[Encl]	ataam-qaa
iter[V][Intr][Ind][S_2Pl]=qaa[Encl]	itertuci-qaa
assir[V][Intr][Ind][S_3Sg]=qaa[Encl]	assirtuq-qaa
cali-@~+yug[V→V][V][Intr][Ind][S_3Sg]	caliyugtuq
cali-@~+yug[V→V][V][Intr][Ind][S_1Sg]	caliyugtua
cali-@~+yug[V→V][V][Intr][Ind][S_2Sg]	caliyugtuten
qavar-@~+yug[V→V][V][Intr][Ind][S_3Sg]	qavaryugtuq
nere-@~+yug[V→V][V][Intr][Ind][S_3Sg]	neryugtuq
taqe-@~+yug[V→V][V][Intr][Ind][S_3Sg]	taqsugtuq
aurre-@~+yug[V→V][V][Intr][Ind][S_3Sg]	aurrsugtuq
ceńirte-@~+yug[V→V][V][Intr][Ind][S_3Sg]	ceńircugtuq
elite-@~+yug[V→V][V][Intr][Ind][S_3Sg]	elicugtuq
cali-–llru[V→V][V][Intr][Ind][S_3Sg]	calillruuq
nere-–llru[V→V][V][Intr][Ind][S_1Sg]	nerellruunga
qavar-–llru[V→V][V][Intr][Ind][S_2Sg]=qaa[Encl]	qavallruuten-qaa
ayag-–llru[V→V][V][Intr][Ind][S_3Sg]	ayallruuq
ane[V][Intr][Ind][S_3Sg]	anʼuq
ane-–llru[V→V][V][Intr][Ind][S_3Sg] anellruuq
nere-@~+yug[V→V]-–llru[V→V][V][Intr][Ind][S_3Sg]	neryullruuq
cali-–nrite[V→V][V][Intr][Ind][S_3Sg]	calinrituq
nere-–nrite[V→V][V][Intr][Ind][S_3Sg]	nerenrituq
qavar-–nrite[V→V][V][Intr][Ind][S_3Sg]	qavanrituq
nere-–llru[V→V]-–nrite[V→V][V][Intr][Ind][S_3Sg]	nerellrunrituq
nere-@~+yug[V→V]-–nrite[V→V][V][Intr][Ind][S_1Sg]	neryunritua
nere-@~+yuumiite[V→V][V][Intr][Ind][S_1Sg]	neryuumiitua
nere-@~+yuumiite[V→V]-–llru[V→V][V][Intr][Ind][S_1Sg]	neryuumiitellruunga
nere-@~+yug[V→V]-–llru[V→V]-–nrite[V→V][V][Intr][Ind][S_1Sg]	neryullrunritua
