ceńirte[V][Trns][Cont][A_3Pl][P_1Sg]	ceńirtaqatnga
nere[V][Intr][Cont][S_1Sg]	nerʼaqama
atur[V][Trns][Cont][A_3Sg][P_4Pl]	aturaqateng
atur[V][Trns][Cont][A_3Sg][P_4Pl]	atuʼurqateng
ellallir[V][Intr][Cont][S_3Sg]	ellalliraqan
ellallir[V][Intr][Cont][S_3Sg]	ellallirqan
ca[V][Intr][Cont][S_4Sg]	caaqami
ellallir[V][Intr][Conc][S_3Sg]	ellallingraan
ikayur-@%:(u)te[V→V][V][Intr][Conc][S_1Pl]	ikayuutengramta
ikayur-@%:(u)te[V→V]-+ciqe/@ciiqe[V→V]-@~+yaaqe[V→V][V][Intr][Conc][S_1Pl]	ikayuuciiqsaaqengramta
pi[V][Intr][Conc][S_3Sg]	pingraan
ca[V][Intr][Conc][S_3Sg]	cangraan
qaner-@%:(u)te[V→V]-–ksaite[V→V][V][Trns][Conc][A_1Sg][P_4Sg]	qanruteksailengramni
qaner-@%:(u)te[V→V][V][Trns][Conc][A_1Sg][P_4Sg]	qanrutengramni
iqvar[V][Intr][Conc][S_1Sg]	iqvangʼerma
iqvar[V][Intr][Conc][S_1Sg]	iqvangʼeʼrma
qavar[V][Intr][Conc][S_2Sg]	qavangerpet
qavar[V][Intr][Conc][S_2Sg]	qavangeʼrpet
qia[V][Intr][Conc][S_4Sg]	qiangermi
qia[V][Intr][Conc][S_4Sg]	qiangeʼrmi
nere[V][Trns][Conc][A_4Pl][P_3Sg]	nerngermegteggu
nere[V][Trns][Conc][A_4Pl][P_3Sg]	nerngeʼrmegteggu
atur[V][Trns][Conc][A_2Sg][P_3Sg]	atungerpegu
aqvate[V][Intr][Conc][S_1Sg]	aqvatʼngerma
aqvate[V][Intr][Conc][S_1Sg]	aqvasngerma
tupag[V][Intr][Cond][S_2Sg]	tupakuvet
ane[V][Intr][Cond][S_2Sg]	ankuvet
angyar-––li[N→V][V][Intr][Cond][S_2Sg]	angyalikuvet
tekite[V][Intr][Cond][S_2Sg]	tekiskuvet
nere-–nrite[V→V][V][Intr][Cond][S_2Sg]	nerenrilkuvet
ceńirte[V][Intr][Cond][S_2Sg]	ceńireskuvet
cangate-–nrite[V→V][V][Intr][Cond][S_1Pl]	cangatenrilkumta
qavar[V][Intr][Cond][S_2Sg]	qavaquvet
atur[V][Trns][Cond][A_2Sg][P_3Sg]	atuquvgu
tangerr[V][Trns][Cond][A_1Sg][P_3Sg]	tangerkumku
tangerr[V][Trns][Cond][A_1Sg][P_3Sg]	tangerqumku
qimugte-–ngqerr[N→V][V][Intr][Cond][S_2Sg]	qimugtengqerkuvet
qimugte-–ngqerr[N→V][V][Intr][Cond][S_2Sg]	qimugtengqerquvet
atur[V][Trns][Cond][A_3Sg][P_3Sg]	atuqaku
ceńirte[V][Intr][Cond][S_3Sg]	ceńireskan
atur[V][Trns][Cond][A_4Sg][P_3Sg]	atuquniu
ceńirte[V][Intr][Cond][S_4Pl]	ceńireskuneng
tai-–lli[V→V][V][Intr][Cond][S_3Pl]	taillikata
nengllir-–lli[V→V][V][Intr][Cond][S_3Sg]	nengllillikan
nere-@~+yar[V→V]-–nrite[V→V][V][Trns][Ind][A_1Sg][P_3Sg]	neryanritaqa
quya-–llru[V→V]-@~+yar[V→V][V][Intr][Ind][S_1Sg]	quyallruyartua
iqmig-–rrlug[N→N][N][Abs][Unpd][Sg]	iqmiggluk
neqe-–rrlug[N→N][N][Abs][Unpd][Sg]	neqerrluk
angyar-–rrlug[N→N][N][Abs][Unpd][Sg]	angyarrluk
ella-@–llug[N→N][N][Abs][Unpd][Sg]	ellalluk
ella-–rrlug[N→N][N][Abs][Unpd][Sg]	ellarrluk
ii-@–llug[N→N][N][Abs][Unpd][Sg]	iilluk
ii-@–llug[N→N]-––liqe[N→V][V][Intr][Ind][S_3Sg]	iilliquq
ii-@–llug[N→N]-––liqe[N→V][V][Intr][Ind][S_3Sg]	iilluliquq
nuna-–rrlug[N→N][N][Abs][Unpd][Sg]	nunarrluk
kuig-–rrlug[N→N][N][Abs][Unpd][Sg]	kuiggluk
kakeg-–rrlug[N→N][N][Abs][Unpd][Sg]	kakeggluk
uqugglug[N][Abs][Unpd][Sg]	uquggluk
kegge-@%:(u)te[V→N][N][Abs][Unpd][Sg]	keggun
mingqe-@%:(u)te[V→N][N][Abs][Unpd][Sg]	mingqun
kagi-@%:(u)te[V→N][N][Abs][Unpd][Sg]	kagin
ega-@%:(u)te[V→N][N][Abs][Unpd][Sg]	egan
cave-@%:(u)te[V→N][N][Abs][Unpd][Sg]	cavun
angu-@%:(u)te[V→N][N][Abs][Unpd][Sg]	angun
ipug-@%:(u)te[V→N][N][Abs][Unpd][Sg]	ipuun
anguar-@%:(u)te[V→N][N][Abs][Unpd][Sg]	anguarun
pekte-@%:(u)te[V→N][N][Abs][Unpd][Sg]	pekyun
qanikciur-@%:(u)te[V→N][N][Abs][Unpd][Sg]	qanikciurun
una-@%:(u)te[V→N][N][Abs][Unpd][Sg]	unan
tuyur-@%:(u)te[V→N][N][Abs][Unpd][Sg]	tuyuun
cikir-@%:(u)te[V→N][N][Abs][Unpd][Sg]	cikiun
cikir-@%:(u)te[V→N]-–ke[N→V][V][Trns][Ind][A_3Sg][P_3Sg]	cikiutekaa
quya-@%:(u)teke[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	quyatekaa
iluteqe-@%:(u)teke[V→V][V][Trns][Sbrd][P_3Sg]	ilutequtekluku
angnir-@%:(u)teke[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	angniutekaa
pi-@%:(u)teke[V→V][V][Trns][Sbrd][P_3Pl]	pitekluki
qaner-@%:(u)teke[V→V]-–llru[V→V][V][Trns][Ind][A_3Sg][P_2Sg]	qanrutkellruaten
apte-@%:(u)teke[V→V]-–llru[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	apyutkellrua
nuna-%:(ng)ute[N→N][N][Abs][1SgPoss][SgPosd]	nunauteka
kemeg-%:(ng)ute[N→N][N][Abs][2SgPoss][PlPosd]	kemguten
[e]mer-%:(ng)ute[N→N][N][Abs][3SgPoss][SgPosd]	merʼutii
aki-%:(ng)ute[N→N]-%:(ng)ite[N→V][V][Intr][Ind][S_3Sg]	akiutaituq
neqe-%:(ng)ute[N→N][N][Abs][3SgPoss][PlPosd]	neqautai
[e]ne-%:(ng)ute[N→N][N][Abs][1SgPoss][SgPosd]	enauteka
atsar-%:(ng)ute[N→N]-%:(ng)ite[N→V][V][Intr][Ind][S_1Sg]	atsautaitua
quser-@+pakar/~vakar[V→V][V][Intr][Intrg][S_2Sg]	quserpakarcit
qia-@+pakar/~vakar[V→V][V][Intr][Intrg][S_3Sg]	qiavakarta
